Word,Clue,Example
consider,deem to be,"At the moment, artemisinin-based therapies are considered the best treatment, but cost about $10 per dose - far too much for impoverished communities."
minute,infinitely or immeasurably small,The minute stain on the document was not visible to the naked eye.
accord,concurrence of opinion,"The committee worked in accord on the bill, and it eventually passed."
evident,clearly revealed to the mind or the senses or judgment,That confidence was certainly evident in the way Smith handled the winning play with 14 seconds left on the clock.
practice,a customary way of operation or behavior,He directed and acted in plays every season and became known for exploring Elizabethan theatre practices.
concern,something that interests you because it is important,The scandal broke out in October after former chief executive Michael Woodford claimed he was fired for raising concerns about the company's accounting practices.
commit,"perform an act, usually with a negative connotation","In an unprecedented front page article in 2003 The Times reported that Mr. Blair, a young reporter on its staff, had committed journalistic fraud."
issue,some situation or event that is thought about,"As a result, the privacy issues surrounding mobile computing are becoming ever-more complex."
approach,move towards,Spain’s jobless rate for people ages 16 to 24 is approaching 50 percent.
establish,set up or found,"A small French colony, Port Louis, was established on East Falkland in 1764 and handed to the Spanish three years later."
utter,without qualification,No one can blame an honest mechanic for holding a wealthy snob in utter contempt.
conduct,direct the course of; manage or control,Scientists have been conducting studies of individual genes for years.
engage,consume all of one's attention or time,"We had nearly two hundred passengers, who were seated about on the sofas, reading, or playing games, or engaged in conversation."
obtain,come into possession of,"He delayed making the unclassified report public while awaiting an Army review, but Rolling Stone magazine obtained the report and posted it Friday night."
scarce,deficient in quantity or number compared with the demand,"Meanwhile, heating oil could grow more scarce in the Northeast this winter, the Energy Department warned last month."
policy,a plan of action adopted by an individual or social group,"Inflation has lagged behind the central bank’s 2 percent target, giving policy makers extra scope to cut rates."
straight,"successive, without a break","After three straight losing seasons, Hoosiers fans were just hoping for a winning record."
stock,capital raised by a corporation through the issue of shares,"In other words, Apple’s stock is cheap, and you should buy it."
apparent,clearly revealed to the mind or the senses or judgment,But the elderly creak is beginning to become apparent in McCartney’s voice.
property,a basic or essential attribute shared by members of a class,"Owing to these magic properties, it was often planted near dwellings to keep away evil spirits."
